Days;HealthyRed;HealthyGreen;AttackedRed;AttackedGreen;AgeRedAt_t0;TotalRed;State
1;0;26;3;3;196;3;1
22;0;48;1;5;185;1;0
42;4;82;2;4;165;6;0
63;12;66;2;3;144;14;0
84;9;82;3;5;123;12;0
104;9;73;8;2;103;17;0
125;6;49;1;16;82;7;0
146;20;21;14;9;61;34;0
167;15;3;12;0;40;27;0
188;2;0;1;0;19;3;0
209;0;6;0;0;-2;0;0
230;0;15;0;3;-23;0;0
251;0;14;0;4;-44;0;0
272;3;7;1;5;-65;4;0
293;0;13;0;6;-86;0;0
314;0;20;0;11;-107;0;0
394;0;194;0;15;-187;0;0
412;0;188;3;20;-205;3;0
433;32;128;27;9;-226;59;0
454;12;139;12;11;-247;24;0
475;10;134;17;5;-268;27;0
496;25;74;25;33;-289;50;0
517;2;56;8;45;-310;10;0
538;2;43;10;19;-331;12;0
559;4;25;24;15;-352;28;0
580;17;5;23;3;-373;40;0
601;2;0;4;0;-394;6;0
622;0;0;0;0;-415;0;0
643;0;0;0;0;-436;0;0
664;0;0;0;0;-457;0;0
685;0;0;0;0;-478;0;0
706;0;0;0;0;-499;0;0
727;0;0;0;0;-520;0;0
748;0;0;0;0;-541;0;0
